sampleID	Mouse_ID	UCAR_Cage_Number	Diet	Supplement	Diet_Supplement	week	weight	TibiaCFU-g	AbscessCFU-g
DMOF6_A1_wk1	A1	UCAR1519088	Lean	Cellulose	Lean_CL	1	22.8		
DMOF6_A2_wk1	A2	UCAR1519088	Lean	Cellulose	Lean_CL	1	24.3		
DMOF6_A3_wk1	A3	UCAR1519088	Lean	Cellulose	Lean_CL	1	22.1		
DMOF6_A4_wk1	A4	UCAR1519088	Lean	Cellulose	Lean_CL	1	22.9		
DMOF6_B1_wk1	B1	UCAR1519089	HighFat	Cellulose	Obese_CL	1			
DMOF6_B2_wk1	B2	UCAR1519089	HighFat	Cellulose	Obese_CL	1	24.4		
DMOF6_B3A_wk1	B3A	UCAR1519089	HighFat	Cellulose	Obese_CL	1	23		
DMOF6_B3B_wk1	B3B	UCAR1519089	HighFat	Cellulose	Obese_CL	1	23		
DMOF6_B4_wk1	B4	UCAR1519089	HighFat	Cellulose	Obese_CL	1	26.4		
DMOF6_C1_wk1	C1	UCAR1519090	Lean	Cellulose	Lean_CL	1	21.1		
DMOF6_C2_wk1	C2	UCAR1519090	Lean	Cellulose	Lean_CL	1			
DMOF6_C3A_wk1	C3A	UCAR1519090	Lean	Cellulose	Lean_CL	1	22.3		
DMOF6_C3B_wk1	C3B	UCAR1519090	Lean	Cellulose	Lean_CL	1	22.3		
DMOF6_C4_wk1	C4	UCAR1519090	Lean	Cellulose	Lean_CL	1	18.7		
DMOF6_D1_wk1	D1	UCAR1519091	HighFat	Cellulose	Obese_CL	1	24.7		
DMOF6_E1_wk1	E1	UCAR1519092	Lean	Oligofructose	Lean_OF	1	21.6		
DMOF6_E2A_wk1	E2A	UCAR1519092	Lean	Oligofructose	Lean_OF	1	21.1		
DMOF6_E2B_wk1	E2B	UCAR1519092	Lean	Oligofructose	Lean_OF	1	21.1		
DMOF6_E3_wk1	E3	UCAR1519092	Lean	Oligofructose	Lean_OF	1	22.3		
DMOF6_E4_wk1	E4	UCAR1519092	Lean	Oligofructose	Lean_OF	1			
DMOF6_F1_wk1	F1	UCAR1519093	HighFat	Oligofructose	Obese_OF	1	26.4		
DMOF6_F2_wk1	F2	UCAR1519093	HighFat	Oligofructose	Obese_OF	1	24		
DMOF6_F3_wk1	F3	UCAR1519093	HighFat	Oligofructose	Obese_OF	1	24.7		
DMOF6_F4_wk1	F4	UCAR1519093	HighFat	Oligofructose	Obese_OF	1	24.1		
DMOF6_G1_wk1	G1	UCAR1519094	Lean	Oligofructose	Lean_OF	1	18.7		
DMOF6_G2_wk1	G2	UCAR1519094	Lean	Oligofructose	Lean_OF	1	20.6		
DMOF6_G3_wk1	G3	UCAR1519094	Lean	Oligofructose	Lean_OF	1	22.6		
DMOF6_G4_wk1	G4	UCAR1519094	Lean	Oligofructose	Lean_OF	1	19.6		
DMOF6_H1_wk1	H1	UCAR1519095	HighFat	Oligofructose	Obese_OF	1	25.1		
DMOF6_H2_wk1	H2	UCAR1519095	HighFat	Oligofructose	Obese_OF	1	22.5		
DMOF6_H3_wk1	H3	UCAR1519095	HighFat	Oligofructose	Obese_OF	1	23.2		
DMOF6_H4_wk1	H4	UCAR1519095	HighFat	Oligofructose	Obese_OF	1	23.9		
DMOF6_A1_wk12	A1	UCAR1519088	Lean	Cellulose	Lean_CL	12	31.4		
DMOF6_A2_wk12	A2	UCAR1519088	Lean	Cellulose	Lean_CL	12	31.9		
